NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010009,10,DO2026000009,1,,803A030,Stud BOLT,QM665200,장OO,96,9,9
2,4500010009,20,DO2026000009,2,,MC000001,"Adapter, HD4500 Rev2 Casting Type",QM665200,장OO,72,9,9
3,4500010009,30,DO2026000009,3,,MC000004,"Adapter, HD5500 Casting Type",QM665200,장OO,69,9,9
4,4500010009,40,DO2026000009,4,,MC000005,"Adaptor, HD2400/3000 BP To DP Casting Type, None, GC250",QM665200,장OO,34,9,9
5,4500010009,50,DO2026000009,5,,MC000006,"Adapter, RD3009L Casting Type",QM665200,이OO,96,9,9
6,4500010009,60,DO2026000009,6,,MC000013,"Adaptor, XD1200 DP To BP Casting Type.",QM665200,이OO,75,9,9
7,4500010009,70,DO2026000009,7,,MC000014,"Adaptor, HD3000 BP To DP Casting Type, None, GC250",QM665200,박OO,55,9,9
8,4500010009,80,DO2026000009,8,,MC000573,ADAPTOR,QM665200,김OO,75,9,9
9,4500010009,90,DO2026000009,9,,MC000574,ADAPTOR,QM665200,이OO,52,9,9
10,4500010009,100,DO2026000009,10,,MC000748,Adaptor_BP TO DP_HD3500 GEN-1_CASTING,QM665200,장OO,47,9,9
11,4500010009,110,DO2026000009,11,,MC000798,ADAPTOR,QM665200,박OO,29,9,9
12,4500010009,120,DO2026000009,12,,MC000819,ADAPTOR_BP TO DP_HD3000 GEN-1 (수리용)_CASTING_GCD450_PAINT,QM665200,박OO,18,9,9
13,4500010009,130,DO2026000009,13,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,장OO,66,9,9
14,4500010009,140,DO2026000009,14,,MD000097,"Cover, HD NDEC Filter, 109x127x5t, S45C",QM665200,김OO,64,9,9
