Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010055,10,DO2026000055,1,,MD000262,"Retainer, RD700 NDE Bearing",QM665200,장OO,55,55,55
,2,4500010055,20,DO2026000055,2,,MD000314,BEARING STOPPER,QM665200,장OO,55,55,55
,3,4500010055,30,DO2026000055,3,,MD000315,"OIL RING, PUSHER",QM665200,장OO,55,55,55
,4,4500010055,40,DO2026000055,4,,MD000318,PUSHER-SPLASHER,QM665200,박OO,55,55,55
,5,4500010055,50,DO2026000055,5,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,김OO,55,55,55
,6,4500010055,60,DO2026000055,6,,MD000348,"Pusher, MK3000 Splasher",QM665200,박OO,55,55,55
,7,4500010055,70,DO2026000055,7,,MD000427,COVER-GEROTOR,QM665200,장OO,55,55,55
,8,4500010055,80,DO2026000055,8,,MD000525,"Tongue Shim-L, MK3000",QM665200,장OO,55,55,55
,9,4500010055,90,DO2026000055,9,,MD000526,"Tongue Shim-R, MK3000",QM665200,이OO,55,55,55
,10,4500010055,100,DO2026000055,10,,MD000763,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,QM665200,김OO,55,55,55
,11,4500010055,110,DO2026000055,11,,MD000820,HOLDER_PISTON RING_ID35.0*OD44.6*L16.16_12L14_NONE,QM665200,김OO,55,55,55
,12,4500010055,120,DO2026000055,12,,MD000823,RETAINER_BEARING_MK1400 REV-3_6207_S45C_NONE,QM665200,이OO,55,55,55
,13,4500010055,130,DO2026000055,13,,MD000854,OIL RING_6214_S45C_NONE,QM665200,이OO,55,55,55
,14,4500010055,140,DO2026000055,14,,MD000999,DUCT_OIL SPLASH GEAR SIDE_WS1001_A6061_NONE,QM665200,장OO,55,55,55
,15,4500010055,150,DO2026000055,15,,MD001003,DUCT_OIL SPLASH MOTOR SIDE_WS1001_A6061_NONE,QM665200,이OO,55,55,55
,16,4500010055,160,DO2026000055,16,,MD001004,DUCT_OIL SPLASH MOTOR SIDE_WS501_A6061_NONE,QM665200,김OO,55,55,55
,17,4500010055,170,DO2026000055,17,,MD001005,DUCT_OIL SPLASH GEAR SIDE_WS501_A6061_NONE,QM665200,박OO,55,55,55
,18,4500010055,180,DO2026000055,18,,MD001007,DUCT_OIL SPLASH MOTOR SIDE_WS2001_A6061_NONE,QM665200,박OO,55,55,55
