Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010063,10,DO2026000063,1,,MD000266,LOCK NUT_FORCED DRIVE_M45X1.5P,QM665200,김OO,63,63,63
,2,4500010063,20,DO2026000063,2,,MD000326,"Oil Ring, MK700 Rev.2, S45C",QM665200,장OO,63,63,63
,3,4500010063,30,DO2026000063,3,,MD000333,BEARING STOPPER,QM665200,장OO,63,63,63
,4,4500010063,40,DO2026000063,4,,MD000344,"Retainer, MK3000 Bearing",QM665200,박OO,63,63,63
,5,4500010063,50,DO2026000063,5,,MD000345,"OIL RING, Pusher, MK3000",QM665200,이OO,63,63,63
,6,4500010063,60,DO2026000063,6,,MD000060,BLOCK_TUBE SUPPORT LOWER_3/8_A6061_NONE,QM665200,김OO,63,63,63
,7,4500010063,70,DO2026000063,7,,MD000061,BLOCK_TUBE SUPPORT UPPER_3/8_A6061_NONE,QM665200,박OO,63,63,63
,8,4500010063,80,DO2026000063,8,,MD000062,"Orifice, Tube Type, D0.3 Tube 1/4",QM665200,김OO,63,63,63
,9,4500010063,90,DO2026000063,9,,MD000011,"Plate Water Jacket Rotor Housing, DD255",QM665200,김OO,63,63,63
,10,4500010063,100,DO2026000063,10,,MD000025,"Plate Water Jacket Rotor Housing, SUS304, DD105",QM665200,박OO,63,63,63
,11,4500010063,110,DO2026000063,11,,MD000262,"Retainer, RD700 NDE Bearing",QM665200,박OO,63,63,63
,12,4500010063,120,DO2026000063,12,,MD000314,BEARING STOPPER,QM665200,김OO,63,63,63
,13,4500010063,130,DO2026000063,13,,MD000315,"OIL RING, PUSHER",QM665200,김OO,63,63,63
,14,4500010063,140,DO2026000063,14,,MD000318,PUSHER-SPLASHER,QM665200,장OO,63,63,63
,15,4500010063,150,DO2026000063,15,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,이OO,63,63,63
,16,4500010063,160,DO2026000063,16,,MD000348,"Pusher, MK3000 Splasher",QM665200,이OO,63,63,63
,17,4500010063,170,DO2026000063,17,,MD000427,COVER-GEROTOR,QM665200,장OO,63,63,63
