Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010072,10,DO2026000072,1,,MD000314,BEARING STOPPER,QM665200,이OO,72,72,72
,2,4500010072,20,DO2026000072,2,,MD000315,"OIL RING, PUSHER",QM665200,이OO,72,72,72
,3,4500010072,30,DO2026000072,3,,MD000318,PUSHER-SPLASHER,QM665200,김OO,72,72,72
,4,4500010072,40,DO2026000072,4,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,장OO,72,72,72
,5,4500010072,50,DO2026000072,5,,MD000348,"Pusher, MK3000 Splasher",QM665200,박OO,72,72,72
,6,4500010072,60,DO2026000072,6,,MD000427,COVER-GEROTOR,QM665200,이OO,72,72,72
,7,4500010072,70,DO2026000072,7,,MD000525,"Tongue Shim-L, MK3000",QM665200,이OO,72,72,72
,8,4500010072,80,DO2026000072,8,,MD000526,"Tongue Shim-R, MK3000",QM665200,장OO,72,72,72
,9,4500010072,90,DO2026000072,9,,MD000763,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,QM665200,박OO,72,72,72
,10,4500010072,100,DO2026000072,10,,MD000820,HOLDER_PISTON RING_ID35.0*OD44.6*L16.16_12L14_NONE,QM665200,장OO,72,72,72
