Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010015,10,DO2026000015,1,,MD000190,"Slinger, HD DE, 15.240±0.005",QM665200,김OO,15,15,15
,2,4500010015,20,DO2026000015,2,,MD001146,RING_LABYRINTH_ID50.00*OD70.00*L11.2_S45C_NONE,QM665200,박OO,15,15,15
,3,4500010015,30,DO2026000015,3,,MD001147,SLINGER_ID40.02*OD49.6*L15.260_S45C_NONE,QM665200,장OO,15,15,15
,4,4500010015,40,DO2026000015,4,,MD001155,SLINGER_ID30.0*OD56.4*L10.1_S45C_NONE,QM665200,장OO,15,15,15
,5,4500010015,50,DO2026000015,5,,MD000266,LOCK NUT_FORCED DRIVE_M45X1.5P,QM665200,김OO,15,15,15
,6,4500010015,60,DO2026000015,6,,MD000326,"Oil Ring, MK700 Rev.2, S45C",QM665200,장OO,15,15,15
,7,4500010015,70,DO2026000015,7,,MD000333,BEARING STOPPER,QM665200,김OO,15,15,15
,8,4500010015,80,DO2026000015,8,,MD000344,"Retainer, MK3000 Bearing",QM665200,이OO,15,15,15
,9,4500010015,90,DO2026000015,9,,MD000345,"OIL RING, Pusher, MK3000",QM665200,장OO,15,15,15
,10,4500010015,100,DO2026000015,10,,MD000060,BLOCK_TUBE SUPPORT LOWER_3/8_A6061_NONE,QM665200,이OO,15,15,15
,11,4500010015,110,DO2026000015,11,,MD000061,BLOCK_TUBE SUPPORT UPPER_3/8_A6061_NONE,QM665200,김OO,15,15,15
,12,4500010015,120,DO2026000015,12,,MD000062,"Orifice, Tube Type, D0.3 Tube 1/4",QM665200,박OO,15,15,15
,13,4500010015,130,DO2026000015,13,,MD000011,"Plate Water Jacket Rotor Housing, DD255",QM665200,이OO,15,15,15
,14,4500010015,140,DO2026000015,14,,MD000025,"Plate Water Jacket Rotor Housing, SUS304, DD105",QM665200,장OO,15,15,15
