NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010013,10,DO2026000013,1,,MD001174,"BODY_I-PEL_HD550 SHAFT(Y, NDE)_G1/4''*L17_S45C_NONE",QM665200,장OO,65,13,13
2,4500010013,20,DO2026000013,2,,MD001319,SPACER_IPEL_SPLASH DISK_HD200_A6061_NONE,QM665200,이OO,35,13,13
3,4500010013,30,DO2026000013,3,,803A030,Stud BOLT,QM665200,박OO,74,13,13
4,4500010013,40,DO2026000013,4,,MC000001,"Adapter, HD4500 Rev2 Casting Type",QM665200,김OO,24,13,13
5,4500010013,50,DO2026000013,5,,MC000004,"Adapter, HD5500 Casting Type",QM665200,이OO,49,13,13
6,4500010013,60,DO2026000013,6,,MC000005,"Adaptor, HD2400/3000 BP To DP Casting Type, None, GC250",QM665200,박OO,9,13,13
7,4500010013,70,DO2026000013,7,,MC000006,"Adapter, RD3009L Casting Type",QM665200,박OO,7,13,13
8,4500010013,80,DO2026000013,8,,MC000013,"Adaptor, XD1200 DP To BP Casting Type.",QM665200,장OO,75,13,13
9,4500010013,90,DO2026000013,9,,MC000014,"Adaptor, HD3000 BP To DP Casting Type, None, GC250",QM665200,장OO,8,13,13
10,4500010013,100,DO2026000013,10,,MC000573,ADAPTOR,QM665200,장OO,24,13,13
