NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010021,10,DO2026000021,1,,MD000314,BEARING STOPPER,QM665200,이OO,53,21,21
2,4500010021,20,DO2026000021,2,,MD000315,"OIL RING, PUSHER",QM665200,김OO,67,21,21
3,4500010021,30,DO2026000021,3,,MD000318,PUSHER-SPLASHER,QM665200,박OO,70,21,21
4,4500010021,40,DO2026000021,4,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,이OO,90,21,21
5,4500010021,50,DO2026000021,5,,MD000348,"Pusher, MK3000 Splasher",QM665200,김OO,15,21,21
6,4500010021,60,DO2026000021,6,,MD000427,COVER-GEROTOR,QM665200,이OO,23,21,21
7,4500010021,70,DO2026000021,7,,MD000525,"Tongue Shim-L, MK3000",QM665200,박OO,49,21,21
8,4500010021,80,DO2026000021,8,,MD000526,"Tongue Shim-R, MK3000",QM665200,김OO,29,21,21
9,4500010021,90,DO2026000021,9,,MD000763,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,QM665200,김OO,38,21,21
10,4500010021,100,DO2026000021,10,,MD000820,HOLDER_PISTON RING_ID35.0*OD44.6*L16.16_12L14_NONE,QM665200,박OO,4,21,21
11,4500010021,110,DO2026000021,11,,MD000823,RETAINER_BEARING_MK1400 REV-3_6207_S45C_NONE,QM665200,장OO,29,21,21
12,4500010021,120,DO2026000021,12,,MD000854,OIL RING_6214_S45C_NONE,QM665200,장OO,15,21,21
13,4500010021,130,DO2026000021,13,,MD000999,DUCT_OIL SPLASH GEAR SIDE_WS1001_A6061_NONE,QM665200,박OO,73,21,21
14,4500010021,140,DO2026000021,14,,MD001003,DUCT_OIL SPLASH MOTOR SIDE_WS1001_A6061_NONE,QM665200,김OO,2,21,21
15,4500010021,150,DO2026000021,15,,MD001004,DUCT_OIL SPLASH MOTOR SIDE_WS501_A6061_NONE,QM665200,장OO,13,21,21
16,4500010021,160,DO2026000021,16,,MD001005,DUCT_OIL SPLASH GEAR SIDE_WS501_A6061_NONE,QM665200,이OO,21,21,21
