Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010043,10,DO2026000043,1,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,박OO,43,43,43
,2,4500010043,20,DO2026000043,2,,MD000097,"Cover, HD NDEC Filter, 109x127x5t, S45C",QM665200,장OO,43,43,43
,3,4500010043,30,DO2026000043,3,,MD000115,"Retainer, HD DE Bearing, S45C",QM665200,장OO,43,43,43
,4,4500010043,40,DO2026000043,4,,MD000184,"Slinger, HD550 Rev1 Motor Side",QM665200,박OO,43,43,43
,5,4500010043,50,DO2026000043,5,,MD000185,"Slinger, HD550 Rev1 Gear Side",QM665200,장OO,43,43,43
,6,4500010043,60,DO2026000043,6,,MD000187,"Holder, HD550 Rev1 Piston Ring Motor Side",QM665200,김OO,43,43,43
,7,4500010043,70,DO2026000043,7,,MD000188,"Holder, HD550 Rev1 Piston Ring Gear Side",QM665200,장OO,43,43,43
,8,4500010043,80,DO2026000043,8,,MD000190,"Slinger, HD DE, 15.240±0.005",QM665200,김OO,43,43,43
,9,4500010043,90,DO2026000043,9,,MD001146,RING_LABYRINTH_ID50.00*OD70.00*L11.2_S45C_NONE,QM665200,김OO,43,43,43
,10,4500010043,100,DO2026000043,10,,MD001147,SLINGER_ID40.02*OD49.6*L15.260_S45C_NONE,QM665200,김OO,43,43,43
