NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010027,10,DO2026000027,1,,MD000292,RETAINER_BEARING_5211_S45C_NONE,QM665200,박OO,37,27,27
2,4500010027,20,DO2026000027,2,,MD000337,PUSHER-SPLASHER,QM665200,이OO,46,27,27
3,4500010027,30,DO2026000027,3,,MD000338,"DISC PUSHER, MOTOR KEY TYPE",QM665200,김OO,73,27,27
4,4500010027,40,DO2026000027,4,,MD000379,"Oil Feed Block, DD105-255, A6061-T6",QM665200,박OO,26,27,27
5,4500010027,50,DO2026000027,5,,MD000667,"SPLASH, RING",QM665200,장OO,52,27,27
6,4500010027,60,DO2026000027,6,,MD000720,"Oil Feed Block, DD 1855PW (MD000720)",QM665200,이OO,15,27,27
7,4500010027,70,DO2026000027,7,,MD000906,BLOCK_DD100KHF_BASE_A6061_NONE,QM665200,이OO,47,27,27
8,4500010027,80,DO2026000027,8,,MD000912,COLUMN_SUPPORT_XD1800_OD40.0*L26.0-M8_SUS316_NONE,QM665200,이OO,44,27,27
9,4500010027,90,DO2026000027,9,,MD000964,SLINGER_ID40.0*D74.0*L22.0_HD2000EM_S45C_NONE,QM665200,장OO,15,27,27
10,4500010027,100,DO2026000027,10,,MD001105,SLINGER_ID40.0*D74.0*L22.0_사각 GROOVE_HD2000EM_S45C_NONE,QM665200,박OO,29,27,27
11,4500010027,110,DO2026000027,11,,MD001174,"BODY_I-PEL_HD550 SHAFT(Y, NDE)_G1/4''*L17_S45C_NONE",QM665200,장OO,78,27,27
12,4500010027,120,DO2026000027,12,,MD001319,SPACER_IPEL_SPLASH DISK_HD200_A6061_NONE,QM665200,김OO,92,27,27
13,4500010027,130,DO2026000027,13,,803A030,Stud BOLT,QM665200,박OO,8,27,27
14,4500010027,140,DO2026000027,14,,MC000001,"Adapter, HD4500 Rev2 Casting Type",QM665200,장OO,56,27,27
15,4500010027,150,DO2026000027,15,,MC000004,"Adapter, HD5500 Casting Type",QM665200,김OO,98,27,27
16,4500010027,160,DO2026000027,16,,MC000005,"Adaptor, HD2400/3000 BP To DP Casting Type, None, GC250",QM665200,김OO,7,27,27
17,4500010027,170,DO2026000027,17,,MC000006,"Adapter, RD3009L Casting Type",QM665200,김OO,87,27,27
18,4500010027,180,DO2026000027,18,,MC000013,"Adaptor, XD1200 DP To BP Casting Type.",QM665200,이OO,80,27,27
19,4500010027,190,DO2026000027,19,,MC000014,"Adaptor, HD3000 BP To DP Casting Type, None, GC250",QM665200,장OO,61,27,27
