Unnamed: 0,NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
,1,4500010050,10,DO2026000050,1,,MD000062,"Orifice, Tube Type, D0.3 Tube 1/4",QM665200,박OO,50,50,50
,2,4500010050,20,DO2026000050,2,,MD000011,"Plate Water Jacket Rotor Housing, DD255",QM665200,장OO,50,50,50
,3,4500010050,30,DO2026000050,3,,MD000025,"Plate Water Jacket Rotor Housing, SUS304, DD105",QM665200,김OO,50,50,50
,4,4500010050,40,DO2026000050,4,,MD000262,"Retainer, RD700 NDE Bearing",QM665200,장OO,50,50,50
,5,4500010050,50,DO2026000050,5,,MD000314,BEARING STOPPER,QM665200,김OO,50,50,50
,6,4500010050,60,DO2026000050,6,,MD000315,"OIL RING, PUSHER",QM665200,이OO,50,50,50
,7,4500010050,70,DO2026000050,7,,MD000318,PUSHER-SPLASHER,QM665200,장OO,50,50,50
,8,4500010050,80,DO2026000050,8,,MD000339,"Spacer, MK1400 Motor Rotator",QM665200,장OO,50,50,50
,9,4500010050,90,DO2026000050,9,,MD000348,"Pusher, MK3000 Splasher",QM665200,박OO,50,50,50
,10,4500010050,100,DO2026000050,10,,MD000427,COVER-GEROTOR,QM665200,장OO,50,50,50
,11,4500010050,110,DO2026000050,11,,MD000525,"Tongue Shim-L, MK3000",QM665200,박OO,50,50,50
,12,4500010050,120,DO2026000050,12,,MD000526,"Tongue Shim-R, MK3000",QM665200,장OO,50,50,50
,13,4500010050,130,DO2026000050,13,,MD000763,ORIFICE_PLATE*TUBE 1/4_D0.8_SUS304_NONE,QM665200,김OO,50,50,50
,14,4500010050,140,DO2026000050,14,,MD000820,HOLDER_PISTON RING_ID35.0*OD44.6*L16.16_12L14_NONE,QM665200,장OO,50,50,50
,15,4500010050,150,DO2026000050,15,,MD000823,RETAINER_BEARING_MK1400 REV-3_6207_S45C_NONE,QM665200,이OO,50,50,50
,16,4500010050,160,DO2026000050,16,,MD000854,OIL RING_6214_S45C_NONE,QM665200,박OO,50,50,50
,17,4500010050,170,DO2026000050,17,,MD000999,DUCT_OIL SPLASH GEAR SIDE_WS1001_A6061_NONE,QM665200,박OO,50,50,50
