NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010003,10,DO2026000003,1,,MD001007,DUCT_OIL SPLASH MOTOR SIDE_WS2001_A6061_NONE,QM665200,박OO,90,3,3
2,4500010003,20,DO2026000003,2,,SA000795,GEROTOR_SMF5030_비전분말야금,QM665200,박OO,55,3,3
3,4500010003,30,DO2026000003,3,,MD000195,"Slinger, HD300 DE Rotor, 20.280mm, 12L14",QM665200,이OO,44,3,3
4,4500010003,40,DO2026000003,4,,MD000196,"Slinger, HD300 DE Rotor, 20.320mm, 12L14",QM665200,이OO,36,3,3
5,4500010003,50,DO2026000003,5,,MD000197,"Retainer, RD700 NDE Bearing",QM665200,이OO,20,3,3
6,4500010003,60,DO2026000003,6,,MD000267,"Key, RD900 22kW Rotator",QM665200,이OO,28,3,3
7,4500010003,70,DO2026000003,7,,MD000268,"Ring, RD900/MK3000 Motor Rotator Spacer",QM665200,이OO,98,3,3
8,4500010003,80,DO2026000003,8,,MD000269,"Pusher, RD900 Rotator",QM665200,박OO,44,3,3
9,4500010003,90,DO2026000003,9,,MD000284,"Plate, RD900 Bypass 2-4 Stage",QM665200,장OO,14,3,3
10,4500010003,100,DO2026000003,10,,MD000285,PLATE_BYPASS_RD900_1-2 STAGE_SUS304_NONE,QM665200,이OO,12,3,3
11,4500010003,110,DO2026000003,11,,MD000292,RETAINER_BEARING_5211_S45C_NONE,QM665200,장OO,49,3,3
12,4500010003,120,DO2026000003,12,,MD000337,PUSHER-SPLASHER,QM665200,이OO,13,3,3
13,4500010003,130,DO2026000003,13,,MD000338,"DISC PUSHER, MOTOR KEY TYPE",QM665200,박OO,46,3,3
14,4500010003,140,DO2026000003,14,,MD000379,"Oil Feed Block, DD105-255, A6061-T6",QM665200,김OO,45,3,3
