NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010028,10,DO2026000028,1,,MC000573,ADAPTOR,QM665200,박OO,16,28,28
2,4500010028,20,DO2026000028,2,,MC000574,ADAPTOR,QM665200,김OO,19,28,28
3,4500010028,30,DO2026000028,3,,MC000748,Adaptor_BP TO DP_HD3500 GEN-1_CASTING,QM665200,박OO,23,28,28
4,4500010028,40,DO2026000028,4,,MC000798,ADAPTOR,QM665200,박OO,83,28,28
5,4500010028,50,DO2026000028,5,,MC000819,ADAPTOR_BP TO DP_HD3000 GEN-1 (수리용)_CASTING_GCD450_PAINT,QM665200,이OO,95,28,28
6,4500010028,60,DO2026000028,6,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,장OO,1,28,28
7,4500010028,70,DO2026000028,7,,MD000097,"Cover, HD NDEC Filter, 109x127x5t, S45C",QM665200,김OO,80,28,28
8,4500010028,80,DO2026000028,8,,MD000115,"Retainer, HD DE Bearing, S45C",QM665200,장OO,84,28,28
9,4500010028,90,DO2026000028,9,,MD000184,"Slinger, HD550 Rev1 Motor Side",QM665200,이OO,38,28,28
10,4500010028,100,DO2026000028,10,,MD000185,"Slinger, HD550 Rev1 Gear Side",QM665200,장OO,83,28,28
11,4500010028,110,DO2026000028,11,,MD000187,"Holder, HD550 Rev1 Piston Ring Motor Side",QM665200,박OO,9,28,28
12,4500010028,120,DO2026000028,12,,MD000188,"Holder, HD550 Rev1 Piston Ring Gear Side",QM665200,박OO,35,28,28
13,4500010028,130,DO2026000028,13,,MD000190,"Slinger, HD DE, 15.240±0.005",QM665200,박OO,10,28,28
