NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010008,10,DO2026000008,1,,MD000196,"Slinger, HD300 DE Rotor, 20.320mm, 12L14",QM665200,이OO,5,8,8
2,4500010008,20,DO2026000008,2,,MD000197,"Retainer, RD700 NDE Bearing",QM665200,장OO,41,8,8
3,4500010008,30,DO2026000008,3,,MD000267,"Key, RD900 22kW Rotator",QM665200,김OO,52,8,8
4,4500010008,40,DO2026000008,4,,MD000268,"Ring, RD900/MK3000 Motor Rotator Spacer",QM665200,장OO,35,8,8
5,4500010008,50,DO2026000008,5,,MD000269,"Pusher, RD900 Rotator",QM665200,이OO,9,8,8
6,4500010008,60,DO2026000008,6,,MD000284,"Plate, RD900 Bypass 2-4 Stage",QM665200,이OO,28,8,8
7,4500010008,70,DO2026000008,7,,MD000285,PLATE_BYPASS_RD900_1-2 STAGE_SUS304_NONE,QM665200,장OO,73,8,8
8,4500010008,80,DO2026000008,8,,MD000292,RETAINER_BEARING_5211_S45C_NONE,QM665200,김OO,92,8,8
9,4500010008,90,DO2026000008,9,,MD000337,PUSHER-SPLASHER,QM665200,김OO,41,8,8
10,4500010008,100,DO2026000008,10,,MD000338,"DISC PUSHER, MOTOR KEY TYPE",QM665200,이OO,28,8,8
11,4500010008,110,DO2026000008,11,,MD000379,"Oil Feed Block, DD105-255, A6061-T6",QM665200,김OO,84,8,8
12,4500010008,120,DO2026000008,12,,MD000667,"SPLASH, RING",QM665200,장OO,64,8,8
13,4500010008,130,DO2026000008,13,,MD000720,"Oil Feed Block, DD 1855PW (MD000720)",QM665200,이OO,51,8,8
14,4500010008,140,DO2026000008,14,,MD000906,BLOCK_DD100KHF_BASE_A6061_NONE,QM665200,장OO,83,8,8
15,4500010008,150,DO2026000008,15,,MD000912,COLUMN_SUPPORT_XD1800_OD40.0*L26.0-M8_SUS316_NONE,QM665200,장OO,59,8,8
16,4500010008,160,DO2026000008,16,,MD000964,SLINGER_ID40.0*D74.0*L22.0_HD2000EM_S45C_NONE,QM665200,김OO,19,8,8
17,4500010008,170,DO2026000008,17,,MD001105,SLINGER_ID40.0*D74.0*L22.0_사각 GROOVE_HD2000EM_S45C_NONE,QM665200,박OO,34,8,8
18,4500010008,180,DO2026000008,18,,MD001174,"BODY_I-PEL_HD550 SHAFT(Y, NDE)_G1/4''*L17_S45C_NONE",QM665200,김OO,18,8,8
19,4500010008,190,DO2026000008,19,,MD001319,SPACER_IPEL_SPLASH DISK_HD200_A6061_NONE,QM665200,이OO,32,8,8
