NO,발주번호,발주순번,납품번호,납품순번,추적요청번호,품번,품명,S/N관리 여부,출하승인자,납품수량,Box당 수량,출력 바코드 수
1,4500010005,10,DO2026000005,1,,MC000005,"Adaptor, HD2400/3000 BP To DP Casting Type, None, GC250",QM665200,장OO,81,5,5
2,4500010005,20,DO2026000005,2,,MC000006,"Adapter, RD3009L Casting Type",QM665200,이OO,80,5,5
3,4500010005,30,DO2026000005,3,,MC000013,"Adaptor, XD1200 DP To BP Casting Type.",QM665200,박OO,47,5,5
4,4500010005,40,DO2026000005,4,,MC000014,"Adaptor, HD3000 BP To DP Casting Type, None, GC250",QM665200,이OO,74,5,5
5,4500010005,50,DO2026000005,5,,MC000573,ADAPTOR,QM665200,김OO,25,5,5
6,4500010005,60,DO2026000005,6,,MC000574,ADAPTOR,QM665200,박OO,91,5,5
7,4500010005,70,DO2026000005,7,,MC000748,Adaptor_BP TO DP_HD3500 GEN-1_CASTING,QM665200,장OO,9,5,5
8,4500010005,80,DO2026000005,8,,MC000798,ADAPTOR,QM665200,김OO,6,5,5
9,4500010005,90,DO2026000005,9,,MC000819,ADAPTOR_BP TO DP_HD3000 GEN-1 (수리용)_CASTING_GCD450_PAINT,QM665200,박OO,85,5,5
10,4500010005,100,DO2026000005,10,,MD000045,ADAPTOR_GEAR*FORCED DRIVE_DD_S45C_NONE,QM665200,김OO,30,5,5
11,4500010005,110,DO2026000005,11,,MD000097,"Cover, HD NDEC Filter, 109x127x5t, S45C",QM665200,김OO,99,5,5
12,4500010005,120,DO2026000005,12,,MD000115,"Retainer, HD DE Bearing, S45C",QM665200,장OO,38,5,5
13,4500010005,130,DO2026000005,13,,MD000184,"Slinger, HD550 Rev1 Motor Side",QM665200,장OO,11,5,5
14,4500010005,140,DO2026000005,14,,MD000185,"Slinger, HD550 Rev1 Gear Side",QM665200,이OO,30,5,5
15,4500010005,150,DO2026000005,15,,MD000187,"Holder, HD550 Rev1 Piston Ring Motor Side",QM665200,김OO,13,5,5
16,4500010005,160,DO2026000005,16,,MD000188,"Holder, HD550 Rev1 Piston Ring Gear Side",QM665200,장OO,49,5,5
17,4500010005,170,DO2026000005,17,,MD000190,"Slinger, HD DE, 15.240±0.005",QM665200,장OO,36,5,5
18,4500010005,180,DO2026000005,18,,MD001146,RING_LABYRINTH_ID50.00*OD70.00*L11.2_S45C_NONE,QM665200,이OO,59,5,5
19,4500010005,190,DO2026000005,19,,MD001147,SLINGER_ID40.02*OD49.6*L15.260_S45C_NONE,QM665200,박OO,82,5,5
20,4500010005,200,DO2026000005,20,,MD001155,SLINGER_ID30.0*OD56.4*L10.1_S45C_NONE,QM665200,박OO,47,5,5
